City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Country,Lat,Lng
Honolulu,103.65,65.07,85.56,114.92,94.28,89.24,United States,21.3098845,-157.8581401
New York,100.0,100.0,100.0,100.0,100.0,100.0,United States,40.7127753,-74.0059728
Santa Barbara,95.01,78.42,87.23,99.53,99.41,93.86,United States,34.4208305,-119.6981901
Berkeley,94.36,88.22,91.48,106.23,78.85,85.78,United States,37.8715226,-122.273042
San Francisco,93.91,108.42,100.72,97.05,93.4,133.16,United States,37.7749295,-122.4194155
Oakland,92.93,87.79,90.52,98.46,78.71,111.73,United States,37.8043514,-122.2711639
Anchorage,91.23,39.29,66.88,97.95,78.76,118.63,United States,61.2175758,-149.8996785
Santa Clara,89.41,90.39,89.87,100.63,73.46,155.41,United States,37.3541079,-121.9552356
Seattle,88.52,65.84,77.89,87.34,93.09,145.39,United States,47.6062095,-122.3320708
London,85.62,76.51,81.35,64.08,89.41,88.79,United Kingdom,51.5072178,-0.1275862
Tokyo,85.61,42.71,65.5,94.94,52.26,88.58,Japan,35.6761919,139.6503106
Boston,85.47,78.26,82.09,85.4,90.86,115.72,United States,42.3600825,-71.0588801
Nice,84.6,36.1,61.87,83.37,87.59,64.22,France,43.7101728,7.261953200000001
Paris,84.35,48.79,67.68,83.65,81.64,80.2,France,48.856614,2.3522219
Queens,84.02,69.36,77.15,79.19,83.16,105.72,United States,40.7282239,-73.7948516
Washington,83.74,73.47,78.93,83.86,82.36,121.83,United States,47.7510741,-120.7401386
Pittsburgh,82.36,39.14,62.1,89.37,68.36,115.5,United States,40.44062479999999,-79.9958864
Jersey City,80.79,63.0,72.45,81.67,73.28,155.89,United States,40.7177545,-74.0431435
Nanaimo,80.26,34.06,58.6,87.2,67.48,57.49,Canada,49.1658836,-123.9400647
Brighton,79.57,51.44,66.39,63.41,86.88,74.78,United Kingdom,50.8229402,-0.1362672
Philadelphia,79.19,49.57,65.31,81.67,71.07,115.61,United States,39.9525839,-75.1652215
Los Angeles,79.19,74.48,76.98,75.94,91.73,126.12,United States,34.0522342,-118.2436849
Minneapolis,79.08,47.05,64.07,79.07,78.57,114.68,United States,44.977753,-93.2650108
Birmingham,78.82,28.19,55.09,84.3,75.48,84.93,United States,33.5185892,-86.8103567
Miami,78.0,64.96,71.88,76.72,79.18,93.71,United States,25.7616798,-80.1917902
Sacramento,77.88,50.55,65.07,80.84,70.23,101.43,United States,38.5815719,-121.4943996
Munich,77.52,47.34,63.37,66.77,76.82,95.16,Germany,48.1351253,11.5819806
St. John's,77.4,21.57,51.23,77.91,77.37,62.75,Canada,47.5615096,-52.7125768
Charleston,77.26,48.61,63.83,77.13,78.68,121.26,United States,32.7764749,-79.93105120000001
Asheville,77.25,45.36,62.3,85.59,71.12,94.16,United States,35.5950581,-82.5514869
Lyon,77.21,31.45,55.76,76.04,71.34,82.65,France,45.764043,4.835659
Chicago,77.06,57.25,67.77,73.3,76.34,135.26,United States,41.8781136,-87.6297982
Fort Lauderdale,76.86,56.56,67.35,81.28,82.48,101.32,United States,26.1224386,-80.13731740000001
Portland,76.83,52.91,65.62,75.46,74.61,108.09,United States,45.515232,-122.6783853
Osaka,76.71,29.13,54.41,82.24,44.42,81.58,Japan,34.6937249,135.5022535
Victoria,76.65,44.9,61.77,80.26,79.11,89.12,Canada,48.4284207,-123.3656444
Vancouver,76.61,56.47,67.17,79.84,74.29,87.68,Canada,49.2827291,-123.1207375
Atlanta,76.6,48.58,63.47,78.0,70.94,130.67,United States,33.7489954,-84.3879824
Toulouse,76.57,24.74,52.27,75.31,79.45,90.06,France,43.604652,1.444209
Guelph,76.36,38.13,58.44,77.93,82.35,79.64,Canada,43.5448048,-80.24816659999999
Saint Paul,76.17,43.96,61.07,73.4,77.55,106.63,United States,44.9537029,-93.0899578
Guildford,76.02,49.12,63.41,66.52,74.95,78.75,United Kingdom,51.23622,-0.570409
Plano,75.94,48.36,63.01,77.11,61.45,105.41,United States,33.0198431,-96.6988856
Tampa,75.83,46.37,62.02,80.03,74.23,98.28,United States,27.950575,-82.4571776
Oxford,75.68,49.17,63.25,65.9,75.45,104.03,United Kingdom,51.7520209,-1.2577263
Nagoya,75.62,57.61,67.18,82.53,40.27,57.39,Japan,35.18145060000001,136.9065571
Lincoln,75.6,22.24,50.59,60.86,90.13,88.99,United Kingdom,53.2294565,-0.5426827
York,75.52,34.08,56.1,62.37,80.71,73.46,United Kingdom,53.9614205,-1.0739108
San Diego,75.47,68.77,72.33,73.82,78.67,127.94,United States,32.715738,-117.1610838
Cleveland,75.41,35.29,56.6,76.36,79.48,125.32,United States,41.49932,-81.6943605
Omaha,75.31,30.21,54.17,72.55,80.25,106.03,United States,41.2565369,-95.9345034
Reading,75.27,41.7,59.53,63.44,85.76,100.89,United Kingdom,51.45512009999999,-0.9787475
Denver,75.16,55.36,65.88,72.13,76.59,129.98,United States,39.7392358,-104.990251
Halifax,74.91,34.04,55.75,82.91,65.22,87.92,Canada,44.8857087,-63.1005273
Milan,74.8,44.61,60.65,62.83,80.37,53.96,Italy,45.4642035,9.189982
Buffalo,74.29,29.56,53.32,72.4,73.62,124.36,United States,42.88644679999999,-78.8783689
Toronto,74.29,51.78,63.74,69.91,74.36,101.29,Canada,43.653226,-79.3831843
Colorado Springs,74.26,41.51,58.91,74.4,72.77,137.64,United States,38.8338816,-104.8213634
Fremont,74.12,74.93,74.5,75.4,71.0,157.35,United States,37.5485396,-121.988583
Salem,73.98,35.81,56.09,78.63,63.1,89.2,United States,42.51954,-70.8967155
San Jose,73.71,82.3,77.74,70.53,74.25,157.39,United States,37.33874,-121.8852525
Nashville,73.62,53.5,64.19,73.46,74.0,111.46,United States,36.1626638,-86.7816016
Olympia,73.58,37.93,56.87,77.67,81.13,108.83,United States,47.0378741,-122.9006951
Baltimore,73.56,41.68,58.61,74.65,73.38,136.13,United States,39.2903848,-76.6121893
New Orleans,73.55,43.45,59.44,69.49,76.72,92.88,United States,29.95106579999999,-90.0715323
Calgary,73.4,34.08,54.97,70.06,72.09,114.16,Canada,51.04473309999999,-114.0718831
Edinburgh,73.15,37.38,56.38,59.68,84.71,88.03,United Kingdom,55.953252,-3.188267
Ottawa,73.15,39.86,57.54,70.8,73.74,94.3,Canada,45.4215296,-75.69719309999999
Milton Keynes,73.14,37.65,56.5,60.6,73.63,73.92,United Kingdom,52.0406224,-0.7594171
Manchester,73.14,34.94,55.23,60.14,87.5,91.33,United Kingdom,53.4807593,-2.2426305
Mississauga,73.12,47.77,61.24,67.93,65.27,99.7,Canada,43.5890452,-79.6441198
Cambridge,73.05,46.16,60.44,60.4,83.11,92.85,United Kingdom,52.1950788,0.1312729
Edmonton,72.86,29.03,52.32,68.2,73.73,109.54,Canada,53.5460983,-113.4937266
Parma,72.81,21.7,48.85,60.1,77.72,60.66,Italy,44.801485,10.3279036
Genoa,72.79,19.72,47.91,69.58,71.05,51.57,Italy,44.4056499,8.946256
Frankfurt,72.78,39.15,57.02,58.44,66.41,106.89,Germany,50.1109221,8.6821267
Fort Collins,72.75,43.09,58.84,83.18,56.71,100.34,United States,40.5852602,-105.084423
Grenoble,72.67,21.4,48.64,72.16,66.83,81.58,France,45.188529,5.724524
Bergamo,72.64,23.27,49.5,65.21,73.57,63.32,Italy,45.6982642,9.6772698
Derby,72.57,21.68,48.71,58.01,80.36,119.81,United Kingdom,52.9225301,-1.4746186
Iowa City,72.54,31.69,53.39,78.24,62.48,85.03,United States,41.6611277,-91.5301683
Syracuse,72.53,31.3,53.2,79.21,65.02,78.44,United States,43.0481221,-76.14742439999999
Everett,72.38,45.16,59.62,72.08,81.87,101.79,United States,47.9789848,-122.2020794
Saskatoon,72.27,27.99,51.51,68.37,69.98,88.18,Canada,52.157902,-106.6701577
Heidelberg,72.14,32.91,53.75,52.74,77.41,102.21,Germany,49.3987524,8.6724335
Markham,72.1,45.74,59.74,65.21,77.13,108.69,Canada,43.8561002,-79.3370188
Hamburg,72.01,36.75,55.48,57.23,68.12,101.1,Germany,53.5510846,9.9936818
Red Deer,71.73,22.46,48.64,70.32,65.19,123.94,Canada,52.2690328,-113.8114955
Surrey,71.67,40.84,57.22,71.55,72.28,98.13,Canada,49.1913466,-122.8490125
Trieste,71.65,18.08,46.54,64.55,73.07,63.01,Italy,45.6495264,13.7768182
Rochester,71.57,29.13,51.68,71.98,69.13,100.12,United States,43.15657789999999,-77.6088465
Milwaukee,71.56,39.74,56.65,73.6,68.6,109.19,United States,43.0389025,-87.9064736
Albany,71.49,34.7,54.24,69.53,78.98,129.75,United States,42.6525793,-73.7562317
Liverpool,71.39,26.18,50.19,56.4,86.7,90.09,United Kingdom,53.4083714,-2.9915726
Nottingham,71.34,26.73,50.43,65.7,70.68,91.62,United Kingdom,52.9540223,-1.1549892
Bristol,71.32,40.45,56.85,56.75,83.16,84.81,United Kingdom,51.454513,-2.58791
Portsmouth,71.16,30.52,52.11,62.31,78.14,85.02,United Kingdom,50.8197675,-1.0879769
Bonn,71.08,30.96,52.27,53.92,73.85,95.72,Germany,50.73743,7.0982068
Marseille,71.05,23.86,48.93,72.68,64.74,95.31,France,43.296482,5.36978
Rome,71.0,37.19,55.15,62.72,70.26,51.33,Italy,41.9027835,12.4963655
Florence,70.81,27.63,50.57,65.22,73.13,53.36,Italy,43.7695604,11.2558136
Plymouth,70.7,24.61,49.1,58.0,73.68,84.01,United Kingdom,50.3754565,-4.1426565
Detroit,70.68,36.65,54.73,68.34,67.09,110.05,United States,42.331427,-83.0457538
Reno,70.67,46.95,59.55,71.66,71.09,96.91,United States,39.529919,-119.8142691
Montreal,70.6,31.2,52.13,73.62,68.41,89.93,Canada,45.5018869,-73.56739189999999
London,70.49,36.54,54.57,64.74,79.2,100.36,Canada,42.9849233,-81.2452768
Brampton,70.44,39.17,55.78,69.11,60.26,103.49,Canada,43.7315479,-79.7624177
Fort Worth,70.42,40.41,56.35,70.1,66.32,112.62,United States,32.7554883,-97.3307658
Durham,70.37,42.09,57.11,80.32,66.25,104.76,United States,35.9940329,-78.898619
Winnipeg,70.33,27.37,50.19,70.13,62.04,101.59,Canada,49.8954221,-97.1385145
Ann Arbor,70.28,47.97,59.82,74.16,63.62,159.99,United States,42.2808256,-83.7430378
Greensboro,70.27,37.64,54.98,72.21,70.22,92.73,United States,36.0726354,-79.7919754
Charlotte,70.06,51.42,61.32,69.24,67.63,144.88,United States,35.2270869,-80.8431267
Norwich,70.06,26.85,49.81,62.4,73.92,79.66,United Kingdom,52.6292567,1.2978802
Exeter,69.9,31.96,52.11,54.86,74.18,93.92,United Kingdom,50.72603669999999,-3.5274889
Dortmund,69.89,21.15,47.04,56.17,60.72,105.62,Germany,51.5135872,7.465298100000001
Long Beach,69.87,57.14,63.9,73.73,74.39,110.03,United States,33.7700504,-118.1937395
Bologna,69.79,26.48,49.49,61.83,74.24,58.89,Italy,44.494887,11.3426163
North Vancouver,69.79,55.44,63.07,70.45,70.77,110.05,Canada,49.3199816,-123.0724139
Kelowna,69.73,41.68,56.58,64.84,71.84,77.45,Canada,49.8879519,-119.4960106
Columbus,69.7,37.02,54.38,67.9,68.94,151.29,United States,39.9611755,-82.99879419999999
Brescia,69.64,18.56,45.7,63.15,69.04,69.1,Italy,45.5415526,10.2118019
Eugene,69.64,37.71,54.67,78.13,67.36,88.21,United States,44.0520691,-123.0867536
Cologne,69.59,31.03,51.51,56.46,64.7,89.1,Germany,50.937531,6.9602786
